conference,in_HSU_dataset,status
Australasian Finance and Banking Conference,yes,covered
Colorado Finance Summit,no,needs_scraping
Contemporary Accounting Research Conference,no,needs_scraping
FMA Annual Meeting,yes,covered
Financial Stability Conference,no,needs_scraping
Review of Accounting Studies Conference,no,needs_scraping
China International Conference in Finance,yes,covered
Future of Financial Information Conference,no,needs_scraping
HKUST Accounting Research Symposium,no,needs_scraping
Journal of Accounting Research Conference,no,needs_scraping
SGF Conference,yes,covered
Texas Finance Festival,yes,covered
UBC Winter Finance Conference,yes,covered
University of Connecticut Finance Conference,no,needs_scraping
Conference on Financial Market Regulation,no,needs_scraping
Eastern Finance Association Meeting,yes,covered
Federal Reserve Stress Testing Research Conference,no,needs_scraping
Hawaii Accounting Research Conference,no,needs_scraping
ITAM Finance Conference,no,needs_scraping
New Zealand Finance Meeting,no,needs_scraping
Santiago Finance Workshop,no,needs_scraping
UNC Tax Symposium,no,needs_scraping
Utah Winter Finance Conference,yes,covered
ASU Sonoran Winter Finance Conference,yes,covered
Bristol Workshop on Banking and Financial Intermediation,no,needs_scraping
Cambridge Corporate Finance Theory Symposium,no,needs_scraping
Conference on Financial Economics and Accounting,yes,covered
European Accounting Review Annual Conference,no,needs_scraping
European Winter Finance Summit,no,needs_scraping
MIT GCFP Annual Conference,no,needs_scraping
Melbourne Asset Pricing Meeting,no,needs_scraping
Midwest Finance Association Annual Meeting,yes,covered
Northeastern University Finance Conference,no,needs_scraping
RCFS Winter Conference,no,needs_scraping
Research in Behavioral Finance Conference,no,needs_scraping
SFS Cavalcade,yes,covered
University of Kentucky Finance Conference,no,needs_scraping
Accountability in a Sustainable World Conference,no,needs_scraping
Annual Meeting of the Central Bank Research Association,no,needs_scraping
Bretton Woods Accounting and Finance Ski Conference,no,needs_scraping
CEAR-RSI Household Finance Workshop,no,needs_scraping
CEIBS Finance/Accounting Symposium,no,needs_scraping
Columbia Burton Accounting Conference,no,needs_scraping
Cryptocurrency Research Conference,no,needs_scraping
EUROFIDAI-ESSEC Paris December Finance Meeting,yes,covered
Emerging Markets Conference,no,needs_scraping
European Finance Association Annual Meeting,yes,covered
European Winter Finance Conference,no,needs_scraping
International Risk Management Conference,no,needs_scraping
Jackson Hole Finance Group Conference,yes,covered
Johns Hopkins Carey Finance Conference,no,needs_scraping
London Business School Accounting Symposium,no,needs_scraping
Northern Finance Association Annual Meeting,yes,covered
Oxford Financial Intermediation Theory Conference,yes,covered
Safe Asset Pricing Workshop,no,needs_scraping
Safe Market Microstructure Conference,no,needs_scraping
Sydney Banking and Financial Stability Conference,no,needs_scraping
Wharton Conference on Liquidity and Financial Fragility,no,needs_scraping
World Symposium on Investment Research,no,needs_scraping
Young Scholars Finance Consortium,no,needs_scraping
Aarhus Workshop on Strategic Interaction in Corporate Finance,no,needs_scraping
Alpine Finance Summit,no,needs_scraping
Big Apple Accounting Conference,no,needs_scraping
Bristol Financial Markets Conference,no,needs_scraping
CEMA Annual Meeting,no,needs_scraping
Community Banking Research Conference,no,needs_scraping
Conference in Sustainable Finance,no,needs_scraping
"Conference on CSR, the Economy and Financial Markets",no,needs_scraping
"Conference on Pacific Basin Finance, Economics, Accounting, and Management",yes,covered
Duke-UNC Asset Pricing Conference,yes,covered
Durham Conference for Finance Job Market Papers,no,needs_scraping
Emerging Scholars in Accounting Conference,no,needs_scraping
FMA European Conference,yes,covered
Finance Forum,no,needs_scraping
Fixed Income and Financial Institutions Conference,no,needs_scraping
Georgia Tech-Atlanta Fed Household Finance Conference,no,needs_scraping
Hedge Fund Research Conference,no,needs_scraping
Helsinki Finance Summit on Investor Behavior,yes,covered
Holden Conference in Finance and Real Estate,no,needs_scraping
India Finance Conference,no,needs_scraping
International Behavioural Finance Conference,no,needs_scraping
International Conference of the Japanese Accounting Review,no,needs_scraping
Journal of Accounting and Public Policy Conference,no,needs_scraping
Mergers & Acquisitions Research Centre Conference,no,needs_scraping
New York Fed / NYU Stern Conference on Financial Intermediation,no,needs_scraping
Private Capital Symposium,no,needs_scraping
Red Rock Finance Conference,yes,covered
Risk Theory Society Annual Seminar,no,needs_scraping
SFS Cavalcade Asia-Pacific,no,needs_scraping
Southern Finance Association Annual Meeting,yes,covered
University of Oregon Summer Finance Conference,yes,covered
Vienna Festival of Finance Theory,no,needs_scraping
Vietnam Symposium in Banking and Finance,no,needs_scraping
World Finance Conference,no,needs_scraping
